candidate_id,candidate_name,candidate_url,party,criminal_cases,education,age,total_assets,liabilities,constituency,constituency_id,district,total_assets_inr,liabilities_inr,age_int,criminal_cases_int
850,Neelam E.Ramkumar,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=850,BSP,0,Graduate Professional,36,"Rs 14,26,000 ~ 14 Lacs+","Rs 5,62,624 ~ 5 Lacs+",MADURANTAKAM (SC),26,CHEYYUR (SC),142600014.0,5626245.0,36,0
2901,R.Sugan,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2901,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,0,Others,39,,,MADURANTAKAM (SC),26,CHEYYUR (SC),,,39,0
2904,Ranjitham.M,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2904,IND,0,8th Pass,49,"Rs 51,06,000 ~ 51 Lacs+",Rs 0 ~,MADURANTAKAM (SC),26,CHEYYUR (SC),510600051.0,0.0,49,0
1355,S.Amulu Ponmalar,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1355,DMK,0,8th Pass,48,"Rs 8,47,95,000 ~ 8 Crore+","Rs 3,55,85,812 ~ 3 Crore+",MADURANTAKAM (SC),26,CHEYYUR (SC),847950008.0,355858123.0,48,0
3331,A.Thangaraj,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3331,Puthiya Tamilagam,0,Graduate,65,"Rs 1,15,28,400 ~ 1 Crore+",Rs 0 ~,PALLAVARAM,21,MADURANTAKAM (SC),115284001.0,0.0,65,0
3334,B.Rajeswari,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3334,Naadaalum Makkal Katchi,0,12th Pass,50,"Rs 46,34,594 ~ 46 Lacs+","Rs 26,55,367 ~ 26 Lacs+",PALLAVARAM,21,MADURANTAKAM (SC),463459446.0,265536726.0,50,0
756,D.Murugesan,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=756,Desiya Murpokku Dravida Kazhagam,0,8th Pass,62,,,PALLAVARAM,21,MADURANTAKAM (SC),,,62,0
117,Dr.R.Karthikeyan,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=117,Naam Tamilar Katchi,0,Post Graduate,38,"Rs 8,57,70,515 ~ 8 Crore+","Rs 71,93,263 ~ 71 Lacs+",PALLAVARAM,21,MADURANTAKAM (SC),857705158.0,719326371.0,38,0
3345,G.John Pandian,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3345,IND,0,12th Pass,46,"Rs 17,25,140 ~ 17 Lacs+","Rs 1,63,000 ~ 1 Lacs+",PALLAVARAM,21,MADURANTAKAM (SC),172514017.0,1630001.0,46,0
3332,G.Rameshbabu,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3332,Indhu Dravida Makkal Katchi,2,12th Pass,52,,,PALLAVARAM,21,MADURANTAKAM (SC),,,52,2
