candidate_id,section,sr_no,description,self,spouse,huf,dependent1,dependent2,dependent3,total,total_inr
1462,Details of Liabilities,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1462,Details of Liabilities,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1462,Details of Liabilities,Totals (Calculated as Sum of Values),Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1451,Details of Liabilities,i,Loans from Banks / FIs,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1451,Details of Liabilities,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1451,Details of Liabilities,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1451,Details of Liabilities,Grand Total of Liabilities (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1451,Details of Liabilities,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1451,Details of Liabilities,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1451,Details of Liabilities,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1451,Details of Liabilities,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1451,Details of Liabilities,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1451,Details of Liabilities,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1451,Details of Liabilities,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1451,Details of Liabilities,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1451,Details of Liabilities,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1451,Details of Liabilities,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1451,Details of Liabilities,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1451,Details of Liabilities,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1451,Details of Liabilities,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1451,Details of Liabilities,Totals (Calculated as Sum of Values),Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1455,Details of Liabilities,i,Loans from Banks / FIs,Nil,"Bajaj Finance 1,50,000 1 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,50,000 1 Lacs+",1500001.0
1455,Details of Liabilities,Loans due to Individual / Entity,"Rent Advance refundable 40,000 40 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 40,000 40 Thou+",,
1455,Details of Liabilities,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1455,Details of Liabilities,Grand Total of Liabilities (as per affidavit),"40,000 40 Thou+","1,50,000 1 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,90,000 1 Lacs+",,
1455,Details of Liabilities,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1455,Details of Liabilities,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1455,Details of Liabilities,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1455,Details of Liabilities,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1455,Details of Liabilities,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1455,Details of Liabilities,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1455,Details of Liabilities,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1455,Details of Liabilities,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1455,Details of Liabilities,Property Tax Dues,"1,434 1 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 1,434 1 Thou+",,
1455,Details of Liabilities,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1455,Details of Liabilities,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1455,Details of Liabilities,Any Other Dues,"Water Tax Due 1,570 1 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 1,570 1 Thou+",,
1455,Details of Liabilities,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1455,Details of Liabilities,Totals (Calculated as Sum of Values),"Rs 43,004 43 Thou+","Rs 1,50,000 1 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,93,004 1 Lacs+",,
1447,Details of Liabilities,i,Loans from Banks / FIs,"Car Bolero Neo, TN 01 BS 8887, Mahendra Finance Bank 6,00,000 6 Lacs+ Suzuki Avenis, TN 01 BV 3888, bajaj Finance 45,000 45 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 6,45,000 6 Lacs+",6450006.0
1447,Details of Liabilities,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1447,Details of Liabilities,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1447,Details of Liabilities,Grand Total of Liabilities (as per affidavit),"6,45,000 6 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 6,45,000 6 Lacs+",,
1447,Details of Liabilities,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1447,Details of Liabilities,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1447,Details of Liabilities,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1447,Details of Liabilities,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1447,Details of Liabilities,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1447,Details of Liabilities,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1447,Details of Liabilities,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1447,Details of Liabilities,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1447,Details of Liabilities,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1447,Details of Liabilities,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1447,Details of Liabilities,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1447,Details of Liabilities,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1447,Details of Liabilities,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1447,Details of Liabilities,Totals (Calculated as Sum of Values),"Rs 6,45,000 6 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 6,45,000 6 Lacs+",,
234,Details of Liabilities,i,Loans from Banks / FIs,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
234,Details of Liabilities,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
234,Details of Liabilities,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
234,Details of Liabilities,Grand Total of Liabilities (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
234,Details of Liabilities,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
234,Details of Liabilities,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
234,Details of Liabilities,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
234,Details of Liabilities,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
234,Details of Liabilities,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
234,Details of Liabilities,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
234,Details of Liabilities,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
234,Details of Liabilities,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
234,Details of Liabilities,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
234,Details of Liabilities,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
234,Details of Liabilities,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
234,Details of Liabilities,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
234,Details of Liabilities,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
234,Details of Liabilities,Totals (Calculated as Sum of Values),Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1453,Details of Liabilities,i,Loans from Banks / FIs,"Canara Bank, Villivakkam Branch-Gold Loan 6,52,000 6 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 6,52,000 6 Lacs+",6520006.0
1453,Details of Liabilities,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1453,Details of Liabilities,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1453,Details of Liabilities,Grand Total of Liabilities (as per affidavit),"6,52,000 6 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 6,52,000 6 Lacs+",,
1453,Details of Liabilities,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1453,Details of Liabilities,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1453,Details of Liabilities,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1453,Details of Liabilities,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1453,Details of Liabilities,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1453,Details of Liabilities,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1453,Details of Liabilities,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1453,Details of Liabilities,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1453,Details of Liabilities,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1453,Details of Liabilities,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1453,Details of Liabilities,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1453,Details of Liabilities,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1453,Details of Liabilities,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1453,Details of Liabilities,Totals (Calculated as Sum of Values),"Rs 6,52,000 6 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 6,52,000 6 Lacs+",,
1460,Details of Liabilities,i,Loans from Banks / FIs,"Vehicle Loan-ICICI Bank, 6,22,930 6 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 6,22,930 6 Lacs+",6229306.0
1460,Details of Liabilities,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1460,Details of Liabilities,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
